"dmNumber","itemCode","serialNumber","getDifSerial","proformaInv","receiveDocs","received","repairable","additionInfo","lastEditor","rpa"
"DM65/038","544965AF","966540-030","","IM22-016","IM23-004",true,"fixed","","",""
"DM65/038","544965A","06F1989624-011","","IM22-016","IM23-004",true,"broken","ซ่อมไม่ได้","",""
"DM65/039","544965A","06G1630663-024","","IM22-016","IM23-004",true,"broken","ซ่อมไม่ได้","",""
"DM65/039","544965A","06A1863105-006","","IM22-016","IM23-004",true,"broken","ซ่อมไม่ได้","",""
"DM65/039","544965A","06B2098716-035","","IM22-016","IM23-004",true,"broken","ซ่อมไม่ได้","",""
"DM65/039","544995A","3385956-049","","IM22-016","IM23-004",true,"fixed","","",""
"DM65/039","544965A","06M1279277-044","","IM22-016","IM23-004",true,"broken","ซ่อมไม่ได้","",""
"DM65/040","544965A","06D1750174-042","","IM22-016","IM23-004",true,"broken","ซ่อมไม่ได้","",""
"DM65/040","544965A","06K2005167-043","","IM22-016","IM23-004",true,"broken","ซ่อมไม่ได้","",""
"DM65/040","544965AF","06K1758647-047","","IM22-016","IM23-004",true,"fixed","","",""
"DM65/041","544965A","06C1261964-030","06C1264954-030","IM22-017","IM23-004",true,"fixed","","",""
"DM65/041","544995A","06J1638584-019","","IM22-017","IM23-004",true,"fixed","","",""
"DM65/042","544965A","06B2098676-047","","IM22-017","IM23-004",true,"broken","ซ่อมไม่ได้","",""
"DM65/042","544965AF","06K1758647-006","","IM22-017","IM23-004",true,"fixed","","",""
"DM65/042","544965A","06B2098722-009","","IM22-017","IM23-004",true,"broken","ซ่อมไม่ได้","",""
"DM65/042","544965A","06B2098726-007","","IM22-017","IM23-004",true,"broken","ซ่อมไม่ได้","",""
"DM65/043","544965A","06F1989624-046","","IM22-018","IM23-004",true,"fixed","","",""
"DM65/043","544965A","06F1871317-010","","IM22-018","IM23-004",true,"broken","ซ่อมไม่ได้","",""
"DM65/043","544965A","06B2098718-028","","IM22-018","IM23-004",true,"broken","ซ่อมไม่ได้","",""
"DM65/043","544995","06J1638584-028","","IM22-018","IM23-004",true,"broken","ซ่อมไม่ได้","",""
"DM65/044","544965AF","06K1156853-026","","IM22-019","IM23/008",true,"broken","ซ่อมไม่ได้","",""
"DM65/044","544965A","06E2002042-011","","IM22-019","IM23/008",true,"fixed","","",""
"DM65/044","544965AF","06C1985908-003","","IM22-019","IM23/008",true,"broken","ซ่อมไม่ได้","",""
"DM65/044","544965AF","06F1388059-049","","IM22-019","IM23/008",true,"fixed","","",""
"DM65/044","544990A","06K1525307-029","","IM22-019","IM23/008",true,"broken","ซ่อมไม่ได้","",""
"DM65/045","544965A","06B2098717-008","","IM22-019","IM23/008",true,"broken","ซ่อมไม่ได้","",""
"DM65/045","544965A","06A1863106-010","","IM22-019","IM23/008",true,"fixed","","",""
"DM65/045","544965A","06F1989624-025","","IM22-019","IM23/008",true,"broken","ซ่อมไม่ได้","",""
"DM65/045","544965A","06F1989618-001","","IM22-019","IM23/008",true,"fixed","","",""
"DM65/045","544965AF","06K1156853-005","","IM22-019","IM23/008",true,"broken","ซ่อมไม่ได้","",""
"DM65/046","544965A","06B1498880-008","","IM22-020","IM23/008",true,"broken","ซ่อมไม่ได้","",""
"DM65/046","544965A","06B2098717-003","","IM22-020","IM23/008",true,"broken","ซ่อมไม่ได้","",""
"DM65/046","544965A","06F1520340-024","","IM22-020","IM23/008",true,"broken","ซ่อมไม่ได้","",""
"DM65/046","544965A","06B2098675-033","","IM22-020","IM23/008",true,"broken","ซ่อมไม่ได้","",""
"DM65/046","544965A","06F1871335-026","","IM22-020","IM23/008",true,"fixed","","",""
"DM65/048","544995A","06K1758702-028","","IM23-001","IM23/011",true,"fixed","","",""
"DM65/048","544965AF","06B2098717-027","","IM23-001","IM23/011",true,"fixed","","",""
"DM65/048","544965A","06B2098717-040","","IM23-001","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM65/048","544965A","06F1871334-029","","IM23-001","IM23/011",true,"fixed","","",""
"DM65/048","544965A","06B2098727-032","","IM23-001","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM65/049","544965A","06B2098676-021","","IM23-001","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM65/049","544965A","06B1020199-043","","IM23-001","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM65/049","544965AF","06B2098676-050","","IM23-001","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM65/049","544965AF","06B2098726-048","","IM23-001","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM65/050","544965A","06C1985908-013","","IM23-002","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM65/050","544965A","06F1989604-041","","IM23-002","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM65/050","544965A","06F1871317-031","","IM23-002","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM65/050","544995A","06M1279288-047","06M279288-047","IM23-002","IM23/011",true,"fixed","","",""
"DM65/051","544965AF","06F1871333-026","","IM23-003","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM65/051","544965AF","06F1871334-041","","IM23-003","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM65/051","544965AF","06K1758647-025","","IM23-003","IM23/011",true,"fixed","","",""
"DM65/051","544965AF","06B2098675-027","","IM23-003","IM23/011",true,"fixed","","",""
"DM65/051","544965AF","06B2098731-039","","IM23-003","IM23/011",true,"fixed","","",""
"DM65/051","544965AF","06F1871334-005","","IM23-003","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM65/052","544965A","06G1630663-004","","IM23-003","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM65/052","544965A","06F1871335-045","","IM23-003","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM65/052","544965A","06F1989624-009","","IM23-003","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM65/052","544965A","06F1871334-011","","IM23-003","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM65/052","544965A","06B2098732-004","","IM23-003","IM23/011",true,"fixed","","",""
"DM65/052","544965AF","06B2098717-039","","IM23-003","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM65/052","544965A","06F1871335-027","","IM23-003","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM66/001","544965AF","06K2005167-004","","IM23-004","IM23/011",true,"fixed","","",""
"DM66/001","544965A","06E2002042-023","","IM23-004","IM23/011",true,"fixed","","",""
"DM66/002","544965A","06B2098731-047","","IM23-004","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM66/002","544965A","06K1758646-049","","IM23-004","IM23/011",true,"fixed","","",""
"DM66/002","544965A","06K1758645-028","","IM23-004","IM23/011",true,"fixed","","",""
"DM66/004","544965A","06E2002045-033","","IM22-005","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM66/004","544965A","06A1863105-024","","IM22-005","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM66/004","544965A","06B2088675-009","","IM22-005","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM66/004","544965A","06F1871333-040","","IM22-005","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM66/005","544995A","06E1268209-037","","IM22-005","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM66/005","544965A","06E2002042-015","","IM22-005","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM66/005","544965A","06F1989624-017","","IM22-005","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM66/005","544965A","06K1758646-032","","IM22-005","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM66/005","544965A","06F1989604-003","","IM22-005","IM23/011",true,"fixed","","",""
"DM66/005","544965A","06B2098708-047","","IM22-005","IM23/011",true,"broken","ซ่อมไม่ได้","",""
"DM66/008","544965A","06F1871333-027","","IM22-006","IM23/013",true,"broken","ซ่อมไม่ได้","",""
"DM66/008","544965AF","06C1264964-020","","IM22-006","IM23/013",true,"broken","ซ่อมไม่ได้","",""
"DM66/008","544965AF","06G1270709-016","","IM22-006","IM23/013",true,"fixed","","",""
"DM66/008","544965AF","06B2098718-012","","IM22-006","IM23/013",true,"broken","ซ่อมไม่ได้","",""
"DM66/008","544965AF","06B2098717-050","","IM22-006","IM23/013",true,"broken","ซ่อมไม่ได้","",""
"DM66/008","544965A","06C1985915-003","","IM22-006","IM23/013",true,"fixed","","",""
"DM66/009","544965A","06M1526937-016","","IM23-007","IM23/013",true,"fixed","","",""
"DM66/009","544965A","06B2098676-038","","IM23-007","IM23/013",true,"broken","ซ่อมไม่ได้","",""
"DM66/009","544965A","06E2002042-014","","IM23-007","IM23/013",true,"broken","ซ่อมไม่ได้","",""
"DM66/009","544965AF","06K1156853-002","","IM23-007","IM23/013",true,"broken","ซ่อมไม่ได้","",""
"DM66/009","544995A","06B1629378-027","","IM23-007","IM23/013",true,"broken","ซ่อมไม่ได้","",""
"DM66/009","544965A","06A1863106-017","","IM23-007","IM23/013",true,"fixed","","",""
"DM66/009","544965A","06C1264963-031","","IM23-007","IM23/013",true,"fixed","","",""
"DM66/010","544965A","06F1989618-008","","IM23-010","IM23/013",true,"fixed","","",""
"DM66/010","544965A","06B2098731-045","","IM23-010","IM23/013",true,"fixed","","",""
"DM66/010","544995A","06E1268213-044","","IM23-010","IM23/013",true,"broken","ซ่อมไม่ได้","",""
"DM66/010","544965A","06B2098731-040","","IM23-010","IM23/013",true,"broken","ซ่อมไม่ได้","",""
"DM66/010","544965A","06A1803102-022","","IM23-010","IM23/013",true,"fixed","","",""
"DM66/010","544965A","06F1989624-001","","IM23-010","",false,"pending","","",""
"DM66/012","544965A","R-11-10","","IM23-011","IM23/013",true,"broken","ซ่อมไม่ได้","",""
"DM66/012","544965AF","06F1989618-014","","IM23-011","IM23/013",true,"broken","ซ่อมไม่ได้","",""
"DM66/013","544965A","06B2098718-029","","IM23-012","IM23/013",true,"broken","ซ่อมไม่ได้","",""
"DM66/013","544965A","06C1261964-049","","IM23-012","IM23/013",true,"broken","ซ่อมไม่ได้","",""
"DM66/014","544965A","06E2002042-019","","IM23-013","IM23/017",true,"broken","ซ่อมไม่ได้","",""
"DM66/014","544965AF","06C1383531-025","","IM23-013","IM23/017",true,"broken","ซ่อมไม่ได้","",""
"DM66/014","544965AF","06F1871334-026","","IM23-013","IM23/017",true,"broken","ซ่อมไม่ได้","",""
"DM66/014","544965AF","06F1871317-040","","IM23-013","IM23/017",true,"broken","ซ่อมไม่ได้","",""
"DM66/014","544965AF","06J2140642-003","","IM23-013","IM23/017",true,"fixed","","",""
"DM66/014","544965AF","06K2005167-042","","IM23-013","IM23/017",true,"broken","ซ่อมไม่ได้","",""
"DM66/014","544965AF","06B2098717-017","","IM23-013","IM23/017",true,"broken","ซ่อมไม่ได้","",""
"DM66/015","544965A","06E2002043-038","","IM23-013","IM23/017",true,"broken","ซ่อมไม่ได้","",""
"DM66/015","544965A","06B2098727-033","","IM23-013","IM23/017",true,"fixed","","",""
"DM66/015","544965A","06C1985915-046","","IM23-013","IM23/017",true,"broken","ซ่อมไม่ได้","",""
"DM66/015","544965A","06K1758647-047","","IM23-013","IM23/017",true,"broken","ซ่อมไม่ได้","",""
"DM66/015","544965A","06B2098727-043","","IM23-013","IM23/017",true,"fixed","","",""
"DM66/015","544990A","06M1644567-009","","IM23-013","IM23/017",true,"broken","ซ่อมไม่ได้","",""
"DM66/015","544965A","06F1520340-009","","IM23-013","IM23/017",true,"broken","ซ่อมไม่ได้","",""
"DM66/016","544965A","06F1989604-005","","IM23-015","IM23/017",true,"broken","ซ่อมไม่ได้","",""
"DM66/016","544965A","06B1498880-019","06B1496880-019","IM23-015","IM23/017",true,"fixed","","",""
"DM66/016","544965A","06B2098676-018","","IM23-015","IM23/017",true,"broken","ซ่อมไม่ได้","",""
"DM66/016","544965AF","06B2098727-006","","IM23-015","IM23/017",true,"fixed","","",""
"DM66/018","544965AF","06B1629322-031","","IM23-016","IM24/001",true,"broken","ซ่อมไม่ได้","",""
"DM66/018","544965A","06M1279277-042","","IM23-016","IM24/001",true,"broken","ซ่อมไม่ได้","",""
"DM66/018","544965A","06B2098722-006","","IM23-016","IM24/001",true,"broken","ซ่อมไม่ได้","",""
"DM66/018","544965A","06B2098726-021","","IM23-016","IM24/001",true,"broken","ซ่อมไม่ได้","",""
"DM66/018","544965AF","06B2098726-028","","IM23-016","IM24/001",true,"broken","ซ่อมไม่ได้","",""
"DM66/019","544965A","06F1989624-036","","IM23-017","IM24/001",true,"broken","ซ่อมไม่ได้","",""
"DM66/019","544965AF","06B2098716-004","","IM23-017","IM24/001",true,"broken","ซ่อมไม่ได้","",""
"DM66/019","544965AF","06F1871332-001","","IM23-017","IM24/001",true,"broken","ซ่อมไม่ได้","",""
"DM66/019","544965A","06F1388059-019","","IM23-017","IM24/001",true,"broken","ซ่อมไม่ได้","",""
"DM66/019","544965A","06F1871325-039","","IM23-017","IM24/001",true,"broken","ซ่อมไม่ได้","",""
"DM66/021","544965A","06F1871317-043","","IM23-023","",false,"pending","","",""
"DM66/021","544965A","06F1989618-005","","IM23-023","",false,"pending","","",""
"DM66/021","544965A","06F1871317-014","","IM23-023","",false,"pending","","",""
"DM66/021","544965A","06F1871335-026","","IM23-023","",false,"pending","","",""
"DM66/023","544965AF","06B2098675-005","","IM23-026","",false,"pending","","",""
"DM66/023","544965AF","06F1388059-049","","IM23-026","",false,"pending","","",""
"DM66/023","544965A","06A1863101-035","","IM23-026","",false,"pending","","",""
"DM66/023","544965AF","06B1629322-024","","IM23-026","",false,"pending","","",""
"DM66/024","544965A","06J2253863-008","","IM23-27","",false,"pending","","",""
"DM66/024","544965A","06J2253863-009","","IM23-27","",false,"pending","","",""
"DM66/025","544965AF","06F1871331-025","","IM23-028","",false,"pending","","",""
"DM66/025","544965A","06B2098727-039","","IM23-028","",false,"pending","","",""
"DM66/026","544965A","06B2098731-045","","IM23-030","",false,"pending","","",""
"DM66/026","544965A","06B2098717-048","","IM23-030","",false,"pending","","",""
"DM66/026","544965A","06A1863104-028","","IM23-030","",false,"pending","","",""
"DM66/026","544965A","06B2098717-049","","IM23-030","",false,"pending","","",""
"DM66/026","544965A","06J2253863036","","IM23-030","",false,"pending","","",""
"DM66/026","544965A","06B2098727-029","","IM23-030","",false,"pending","","",""
"DM66/027","544965AF","06C1264963-028","","IM24-001","",false,"pending","","",""
"DM66/027","544965A","06J2253863014","","IM24-001","",false,"pending","","",""
"DM66/027","544965A","06F1871332-023","","IM24-001","",false,"pending","","",""
"DM66/027","544965AF","06B2098675-001","","IM24-001","",false,"pending","","",""
"DM66/027","544965AF","06F1388059-015","","IM24-001","",false,"pending","","",""
"DM66/027","544965AF","06E2248938-022","","IM24-001","",false,"pending","","",""
"DM66/027","544965AF","06B2098718-024","","IM24-001","",false,"pending","","",""
"DM66/027","544965A","06E2248936049","","IM24-001","",false,"pending","","",""
"DM67/003","544965A","06B2098727-027","","IM24-004","",false,"pending","","",""
"DM67/003","544990A","06A1261346-031","","IM24-004","",false,"pending","","",""
"DM67/003","544995A","327923-010","","IM24-004","",false,"pending","","",""
"DM67/003","544965A","06H1152362-003","","IM24-004","",false,"pending","","",""
"DM67/003","544965A","06B2098726-044","","IM24-004","",false,"pending","","",""
"DM67/006","544965A","06D2247827-028","","IM24-005","",false,"pending","","",""
"DM67/006","544965A","06F1871333-029","","IM24-005","",false,"pending","","",""
"DM67/006","544965A","06M1526937-016","","IM24-005","",false,"pending","","",""
"DM67/006","544965A","06B2098675-006","","IM24-005","",false,"pending","","",""
